mapping,C_0_IALU,C_0_FPU,C_0_FPIW,C_0_REN,C_0_ROB,C_0_MMU,C_0_SQ,C_0_BTB,C_0_DC,C_0_IW,C_0_CALU,C_0_RBB,C_0_Other,C_0_L2,C_0_IRF,C_0_LQ,C_0_BP,C_0_IC,C_0_IB,C_0_ID,C_0_FPRF,C_1_IALU,C_1_FPU,C_1_FPIW,C_1_REN,C_1_ROB,C_1_MMU,C_1_SQ,C_1_BTB,C_1_DC,C_1_IW,C_1_CALU,C_1_RBB,C_1_Other,C_1_L2,C_1_IRF,C_1_LQ,C_1_BP,C_1_IC,C_1_IB,C_1_ID,C_1_FPRF,C_2_IALU,C_2_FPU,C_2_FPIW,C_2_REN,C_2_ROB,C_2_MMU,C_2_SQ,C_2_BTB,C_2_DC,C_2_IW,C_2_CALU,C_2_RBB,C_2_Other,C_2_L2,C_2_IRF,C_2_LQ,C_2_BP,C_2_IC,C_2_IB,C_2_ID,C_2_FPRF,C_3_IALU,C_3_FPU,C_3_FPIW,C_3_REN,C_3_ROB,C_3_MMU,C_3_SQ,C_3_BTB,C_3_DC,C_3_IW,C_3_CALU,C_3_RBB,C_3_Other,C_3_L2,C_3_IRF,C_3_LQ,C_3_BP,C_3_IC,C_3_IB,C_3_ID,C_3_FPRF
0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.515,0.078,0.312,0.156,4.019,1.281,0.386,0.914,0.379,0.24,0.578,1.164,0.607,0.115,0.045,0.087,4.746,1.626,0.016,2.216,4.8
0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.344,0.073,0.294,0.147,3.82,1.286,0.388,0.92,0.381,0.241,0.581,1.168,0.606,0.114,0.045,0.086,4.703,1.617,0.016,2.194,5.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.011,0.065,0.261,0.131,3.421,1.079,0.333,0.799,0.332,0.214,0.515,1.037,0.51,0.097,0.038,0.073,4.02,1.355,0.014,1.817,3.74,2.746,0.059,0.235,0.118,3.075,1.058,0.325,0.777,0.322,0.208,0.501,1.011,0.512,0.099,0.039,0.076,4.191,1.382,0.014,1.903,4.248
0100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.079,0.316,0.158,4.088,1.269,0.411,0.933,0.385,0.227,0.546,1.182,0.61,0.119,0.047,0.088,4.699,1.637,0.017,2.214,4.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249,0.069,0.277,0.138,3.539,1.142,0.369,0.827,0.341,0.195,0.468,0.982,0.547,0.107,0.042,0.078,4.115,1.469,0.015,1.981,4.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.062,0.068,0.274,0.137,3.589,1.076,0.332,0.799,0.332,0.216,0.52,1.051,0.516,0.099,0.039,0.076,4.229,1.387,0.014,1.9,4.203
0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248,0.069,0.277,0.138,3.536,1.144,0.37,0.829,0.342,0.195,0.469,0.983,0.55,0.107,0.042,0.079,4.146,1.476,0.015,1.994,4.307,2.954,0.065,0.262,0.131,3.457,1.084,0.334,0.81,0.336,0.219,0.527,1.062,0.516,0.099,0.039,0.076,4.184,1.379,0.014,1.876,4.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.959,0.063,0.25,0.125,3.134,1.057,0.341,0.756,0.311,0.173,0.415,0.846,0.506,0.099,0.039,0.072,3.751,1.36,0.014,1.833,3.902,2.657,0.059,0.235,0.118,3.131,0.921,0.291,0.713,0.297,0.196,0.473,0.955,0.439,0.085,0.033,0.065,3.62,1.17,0.012,1.573,3.309,2.385,0.052,0.209,0.105,2.768,0.897,0.282,0.688,0.286,0.189,0.457,0.926,0.439,0.086,0.034,0.068,3.773,1.192,0.012,1.65,3.774
1000,3.309,0.074,0.295,0.147,3.836,1.272,0.412,0.935,0.386,0.227,0.546,1.18,0.608,0.118,0.047,0.087,4.64,1.625,0.017,2.189,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,2.977,0.065,0.262,0.13,3.323,1.15,0.372,0.832,0.343,0.195,0.469,0.983,0.546,0.106,0.042,0.077,4.057,1.457,0.015,1.952,4.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.068,0.273,0.137,3.581,1.073,0.331,0.799,0.332,0.216,0.521,1.051,0.516,0.099,0.039,0.077,4.255,1.388,0.014,1.906,4.251
1010,3.067,0.065,0.26,0.13,3.303,1.147,0.371,0.829,0.342,0.195,0.468,0.981,0.545,0.106,0.042,0.077,4.052,1.455,0.015,1.95,4.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933,0.065,0.26,0.13,3.428,1.079,0.333,0.805,0.334,0.218,0.524,1.057,0.514,0.098,0.039,0.075,4.171,1.375,0.014,1.87,4.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
