mapping,C_0_IALU,C_0_FPU,C_0_FPIW,C_0_REN,C_0_ROB,C_0_MMU,C_0_SQ,C_0_BTB,C_0_DC,C_0_IW,C_0_CALU,C_0_RBB,C_0_Other,C_0_L2,C_0_IRF,C_0_LQ,C_0_BP,C_0_IC,C_0_IB,C_0_ID,C_0_FPRF,C_1_IALU,C_1_FPU,C_1_FPIW,C_1_REN,C_1_ROB,C_1_MMU,C_1_SQ,C_1_BTB,C_1_DC,C_1_IW,C_1_CALU,C_1_RBB,C_1_Other,C_1_L2,C_1_IRF,C_1_LQ,C_1_BP,C_1_IC,C_1_IB,C_1_ID,C_1_FPRF,C_2_IALU,C_2_FPU,C_2_FPIW,C_2_REN,C_2_ROB,C_2_MMU,C_2_SQ,C_2_BTB,C_2_DC,C_2_IW,C_2_CALU,C_2_RBB,C_2_Other,C_2_L2,C_2_IRF,C_2_LQ,C_2_BP,C_2_IC,C_2_IB,C_2_ID,C_2_FPRF,C_3_IALU,C_3_FPU,C_3_FPIW,C_3_REN,C_3_ROB,C_3_MMU,C_3_SQ,C_3_BTB,C_3_DC,C_3_IW,C_3_CALU,C_3_RBB,C_3_Other,C_3_L2,C_3_IRF,C_3_LQ,C_3_BP,C_3_IC,C_3_IB,C_3_ID,C_3_FPRF
0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13757,0.0682081,0.272832,0.136416,3.47861,1.1675,0.381681,0.920525,0.381681,0.224518,0.538844,1.05524,0.575506,0.11368,0.0449037,0.0898073,4.80469,1.55514,0.0161994,2.09513,4.37441
0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12877,0.0680168,0.272067,0.136034,3.46886,1.16422,0.380611,0.917944,0.380611,0.223889,0.537333,1.05228,0.573892,0.113361,0.0447777,0.0895555,4.79122,1.55078,0.016154,2.08925,4.36214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65331,0.0576807,0.230723,0.115361,2.94172,0.987302,0.322772,0.77845,0.322772,0.189866,0.455678,0.892369,0.486681,0.0961346,0.0379732,0.0759463,4.06313,1.31512,0.0136992,1.77176,3.69926,2.65331,0.0576807,0.230723,0.115361,2.94172,0.987302,0.322772,0.77845,0.322772,0.189866,0.455678,0.892369,0.486681,0.0961346,0.0379732,0.0759463,4.06313,1.31512,0.0136992,1.77176,3.69926
0100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17113,0.0689376,0.27575,0.137875,3.51582,1.17998,0.385763,0.93037,0.385763,0.22692,0.544607,1.06652,0.581661,0.114896,0.0453839,0.0907678,4.85608,1.57178,0.0163727,2.11753,4.4212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77977,0.0604297,0.241719,0.120859,3.08192,1.03436,0.338155,0.815549,0.338155,0.198914,0.477395,0.934898,0.509876,0.100716,0.0397829,0.0795658,4.25677,1.3778,0.0143521,1.8562,3.87556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77977,0.0604297,0.241719,0.120859,3.08192,1.03436,0.338155,0.815549,0.338155,0.198914,0.477395,0.934898,0.509876,0.100716,0.0397829,0.0795658,4.25677,1.3778,0.0143521,1.8562,3.87556
0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77819,0.0603955,0.241582,0.120791,3.08017,1.03377,0.337963,0.815087,0.337963,0.198802,0.477124,0.934368,0.509587,0.100659,0.0397603,0.0795207,4.25436,1.37702,0.0143439,1.85515,3.87336,2.77819,0.0603955,0.241582,0.120791,3.08017,1.03377,0.337963,0.815087,0.337963,0.198802,0.477124,0.934368,0.509587,0.100659,0.0397603,0.0795207,4.25436,1.37702,0.0143439,1.85515,3.87336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39682,0.0521048,0.208419,0.10421,2.65734,0.89186,0.29157,0.703197,0.29157,0.171512,0.411628,0.806104,0.439634,0.0868413,0.0343023,0.0686046,3.67035,1.18799,0.0123749,1.60048,3.34165,2.39682,0.0521048,0.208419,0.10421,2.65734,0.89186,0.29157,0.703197,0.29157,0.171512,0.411628,0.806104,0.439634,0.0868413,0.0343023,0.0686046,3.67035,1.18799,0.0123749,1.60048,3.34165,2.39682,0.0521048,0.208419,0.10421,2.65734,0.89186,0.29157,0.703197,0.29157,0.171512,0.411628,0.806104,0.439634,0.0868413,0.0343023,0.0686046,3.67035,1.18799,0.0123749,1.60048,3.34165
1000,3.15721,0.0686351,0.27454,0.13727,3.50039,1.1748,0.384071,0.926288,0.384071,0.225924,0.542217,1.06184,0.579109,0.114392,0.0451848,0.0903695,4.83477,1.56488,0.0163008,2.10824,4.4018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,2.78614,0.0605682,0.242273,0.121136,3.08898,1.03673,0.33893,0.817418,0.33893,0.19937,0.478489,0.93704,0.511044,0.100947,0.0398741,0.0797481,4.26652,1.38095,0.0143849,1.86045,3.88444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78614,0.0605682,0.242273,0.121136,3.08898,1.03673,0.33893,0.817418,0.33893,0.19937,0.478489,0.93704,0.511044,0.100947,0.0398741,0.0797481,4.26652,1.38095,0.0143849,1.86045,3.88444
1010,2.76759,0.0601649,0.24066,0.12033,3.06841,1.02982,0.336673,0.811976,0.336673,0.198043,0.475303,0.930801,0.507641,0.100275,0.0396086,0.0792171,4.23812,1.37176,0.0142892,1.84807,3.85858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76759,0.0601649,0.24066,0.12033,3.06841,1.02982,0.336673,0.811976,0.336673,0.198043,0.475303,0.930801,0.507641,0.100275,0.0396086,0.0792171,4.23812,1.37176,0.0142892,1.84807,3.85858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
